Year;Machine;PROD;tprep (hrs);tferm (hrs);t_CIP (hrs);total_ferm
2022;F140;ARF;9,266666667;135,7333333;8,066666667;153,0666667
2022;F100;GOP;6,8;45,53333333;7,733333333;60,06666667
2022;F200;ASP;11,23333333;100,0666667;10,16666667;121,4666667
2022;F218;ASG;12,15;111,1166667;12,35;135,6166667
2022;F100;PLS;16,63333333;102,8333333;7,383333333;126,85
2022;F200;GPP;11,51666667;65,21666667;23,78333333;100,5166667
2022;F140;MAM;13,9;92,98333333;12,4;119,2833333
2022;F218;PLA;11,93333333;131,3666667;18,76666667;162,0666667
2022;F100;FUR;16;42,2;17,56666667;75,76666667
2022;F200;CIN;13,25;104,7666667;10,48333333;128,5
2022;F100;INV;12,36666667;66,71666667;20,33333333;99,41666667
2022;F200;GPP;8,5;51,83333333;27,48333333;87,81666667
2022;F218;TAN;14,38333333;103,6;14,15;132,1333333
2022;F140;FDA;20,16666667;143,6333333;15,3;179,1
2022;F100;FUR;16,23333333;52,55;10,18333333;78,96666667
2022;F200;GPP;21,4;66,7;24,83333333;112,9333333
2022;F218;MXB;11,81666667;107,7666667;11,13333333;130,7166667
2022;F100;MAM;10,88333333;83,75;24,66666667;119,3
2022;F200;GOX;10,31666667;102,5333333;28,96666667;141,8166667
2022;F140;FLW;8,266666667;59,48333333;34,46666667;102,2166667
2022;F218;TAN;11,33333333;98,96666667;19,55;129,85
2022;F100;ROM;9,733333333;84,35;18,91666667;113
2022;F200;MAX;13,1;113,7;8,266666667;135,0666667
2022;F140;NBA;12,31666667;84,46666667;20,88333333;117,6666667
2022;F218;EDX;11,11666667;122,3166667;6,2;139,6333333
2022;F100;GOP;15,66666667;41,28333333;62,53333333;119,4833333
2022;F200;GOX;10,45;100,5833333;26,66666667;137,7
2022;F140;BGF;19,48333333;75,53333333;12;107,0166667
2022;F218;EDP;8,833333333;123,5;8,4;140,7333333
2022;F100;EDP;10,31666667;53,8;25,86666667;89,98333333
2022;F200;FRO;15,1;94,58333333;11,73333333;121,4166667
2022;F218;PLA;18,58333333;150,25;9,533333333;178,3666667
2022;F100;PI-PLC;9,7;46,68333333;20,43333333;76,81666667
2022;F140;MAX;9,8;96,31666667;8,283333333;114,4
2022;F200;TAN;10,76666667;88,31666667;16,11666667;115,2
2022;F100;ASG;13,66666667;100,75;29,46666667;143,8833333
2022;F200;GPP;-16,48333333;89,73333333;24,16666667;97,41666667
2022;F218;PLA;12,58333333;137,5666667;15,18333333;165,3333333
2022;F140;GPP;12,8;59,9;23,13333333;95,83333333
2022;F200;GPP;13,63333333;69,23333333;22,93333333;105,8
2022;F100;FUR;23,81666667;44,85;12,66666667;81,33333333
2022;F218;EDP;12,53333333;131,45;11,36666667;155,35
2022;F100;PLS;18,63333333;100,7;8,516666667;127,85
2022;F140;PNR;14,4;27,2;8,766666667;50,36666667
2022;F200;MAX;10,81666667;103,2666667;8,55;122,6333333
2022;F140;FLW;18,3;66,35;23,61666667;108,2666667
2022;F200;GOX;7,983333333;94,05;39,71666667;141,75
2022;F140;XYL;18;52,21666667;9,2;79,41666667
2022;F140;MAX;9,516666667;95,26666667;8,55;113,3333333
2022;F218;ASP;13,66666667;92,93333333;11,4;118
2022;F200;EDP;17,35;114,65;14,93333333;146,9333333
2022;F140;BGF;11,56666667;71,73333333;13,11666667;96,41666667
2022;F218;PEC;14,71666667;107,1;2,683333333;124,5
2022;F100;FUR;13,73333333;52,38333333;13,43333333;79,55
2022;F140;PNR;12,18333333;23,5;19,7;55,38333333
2022;F200;GPP;11,28333333;64,4;26,88333333;102,5666667
2022;F218;TAN;10;89,26666667;11,86666667;111,1333333
2022;F140;MAM;11,95;83,5;13,95;109,4
2022;F100;GOP;7,483333333;45,75;8,366666667;61,6
2022;F200;FRO;14,4;100,2;8,966666667;123,5666667
2022;F218;EDP;12,65;115,35;15,61666667;143,6166667
2022;F200;MAX;12,86666667;102,8333333;10,73333333;126,4333333
2022;F140;FDA;21,76666667;124,3;15,2;161,2666667
2022;F100;PLN;9,65;54,95;11,06666667;75,66666667
2022;F218;EDP;28,13333333;122,4166667;10,03333333;160,5833333
2022;F200;INV;9,983333333;64,96666667;10,03333333;84,98333333
2022;F100;EPG;23,1;125,6666667;11,38333333;160,15
2022;F200;ASP;11,66666667;83,66666667;10,61666667;105,95
2022;F140;PNR;18,81666667;24,36666667;15,28333333;58,46666667
2022;F218;LYX;19,73333333;124,2833333;7,616666667;151,6333333
2022;F100;ROM;11,41666667;77,01666667;19,4;107,8333333
2022;F200;CIN;13,71666667;97,38333333;7,55;118,65
2022;F140;MAM;12,23333333;82,88333333;16,58333333;111,7
2022;F100;FUR;18,91666667;53,31666667;16,15;88,38333333
2022;F200;GPP;10,4;90,63333333;31,55;132,5833333
2022;F218;GOX;12,35;117,3333333;24,4;154,0833333
2022;F100;MAM;13,86666667;71,31666667;16,55;101,7333333
2022;F140;BXN;14,68333333;35,55;11,81666667;62,05
2022;F200;GPP;10,85;89,95;25,98333333;126,7833333
2022;F140;FUM;10,6;101,4333333;10,36666667;122,4
2022;F218;EDX;14,06666667;114,05;6,083333333;134,2
2022;F100;MAM;12,58333333;82,95;22,7;118,2333333
2022;F200;TAN;11,38333333;84,18333333;11,6;107,1666667
2022;F140;FLW;9,15;77,98333333;19,88333333;107,0166667
2022;F218;GOX;12,58333333;90,7;22,41666667;125,7
2022;F100;FUR;15,1;51,41666667;10,18333333;76,7
2022;F200;GPP;12,88333333;81;26,06666667;119,95
2022;F140;BGF;34,28333333;71,58333333;11,21666667;117,0833333
2022;F100;MAM;40,33333333;89,65;21,81666667;151,8
2022;F218;FRO;13,13333333;99,8;13,16666667;126,1
2022;F200;INV;18,36666667;68,36666667;6,983333333;93,71666667
2022;F140;INV;9,066666667;54,31666667;18,56666667;81,95
2022;F100;ROM;11,9;87,33333333;21,03333333;120,2666667
2022;F200;TAN;9,516666667;93,1;10,61666667;113,2333333
2022;F140;GPP;11,45;82,83333333;28,13333333;122,4166667
2022;F100;CPG;14,81666667;133,95;9,216666666;157,9833333
2022;F218;EDP;12,13333333;124,9333333;11,08333333;148,15
2022;F200;PLA;13,06666667;137,95;15,48333333;166,5
2022;F140;MAX;10,73333333;90,1;9,033333333;109,8666667
2022;F100;FUR;20,73333333;54;16,55;91,28333333
2022;F200;MAX;12,36666667;96,55;7,816666667;116,7333333
2022;F218;TAN;10,26666667;82,81666667;11,86666667;104,95
2022;F140;BGF;11,86666667;67;9,366666667;88,23333333
2022;F200;INV;8,783333333;64,68333333;12,1;85,56666667
2022;F140;MAM;14,66666667;83,23333333;20,03333333;117,9333333
2022;F100;EDP;16,41666667;65,91666667;11,01666667;93,35
2022;F218;FRO;13,23333333;92,18333333;10,25;115,6666667
2022;F218;EDX;11,21666667;99,71666667;13,93333333;124,8666667
2022;F140;FUM;8,05;99,35;19,9;127,3
2022;F200;INV;11,76666667;65,08333333;12,63333333;89,48333333
2022;F100;GOP;5,416666667;41,16666667;17,4;63,98333333
