,SKU Interm 1,SKU EoF,Enzyme,Fermenter,Batch weight (kg),Total fractions (kg),Fractions (#),fermentation_prep,fermentation_time,fermentation_post,harvesting_time,FAM/MF_time,UF_time,stab_time,UF_fractions,UF__Weight ccUF (kg),MF,Stab,lag_receival_fraction,Etanks required (#),min_number_fractions_start_FAM,lag_start_fam,UF_lag,key
108,20634,17510,CIN,V100,100000.0,40000.0,4.0,11.0,110.0,9.0,0,0.14237078303930673,0.07213453007324874,4,3,14720.0,1,0,35.0,0.0,12.0,66.0,0.16248839368616527,61
110,20634,17510,CIN,V200,200000.0,80000.0,4.0,11.0,110.0,9.0,0,0.10345610234189621,0.05241775851989409,4,9,32089.6,1,0,30.0,0.0,6.0,80.0,0.16248839368616527,62
112,20635,17510,CIN,V100,100000.0,40000.0,4.0,11.0,110.0,9.0,0,0.14237078303930673,0.07213453007324874,4,3,14720.0,1,1,35.0,0.0,12.0,66.0,0.16248839368616527,63
114,20635,17510,CIN,V200,200000.0,80000.0,4.0,11.0,110.0,9.0,0,0.10345610234189621,0.05241775851989409,4,9,32089.6,1,1,30.0,0.0,6.0,80.0,0.16248839368616527,64
117,20656,17235,GPP,V140,90000.0,0.0,0.0,11.0,86.0,26.0,40,5.303476723682022,23.717948721327343,4,3,11988.0,0,0,False,1.0,inf,False,3.4374386172013103,65
118,20656,17235,GPP,V200,160000.0,44000.0,2.0,11.0,86.0,26.0,40,4.954959732910576,11.66980370092523,4,5,18667.018,0,0,52.0,0.0,5.0,85.0,3.4374386172013103,66
120,20906,4692,MAX KPO,V100,66000.0,0.0,0.0,53.0,79.0,20.0,0,0.12101210121012101,0.055060506050605064,4,2,4504.5,1,0,False,0.0,inf,False,0.12834616795012835,67
122,20906,4692,MAX KPO,V200,130000.0,0.0,0.0,53.0,79.0,20.0,0,0.13190319031903192,0.06001595159515952,4,4,9819.81,1,0,False,0.0,inf,False,0.12834616795012835,68
125,21136,21132,FLW,V140,93000.0,0.0,0.0,11.0,68.0,23.0,52,8.753932430703788,15.13809133293449,4,2,22144.0,0,0,False,1.0,inf,False,4.787306798041135,69
129,21708,21704,GPP KPO,V140,93000.0,0.0,0.0,42.0,56.0,44.0,24,13.847219017167026,27.70083102876743,4,2,8000.0,0,0,False,0.0,inf,False,8.077544426680765,70
133,21721,4629,PBN,V140,72000.0,0.0,0.0,10.0,14.0,8.0,5,27.694438034334052,23.06629832872928,4,1,1908.57142742857,0,1,False,0.0,inf,False,8.077544426680765,71
136,23322,20322,BXN,V100,60000.0,0.0,0.0,15.0,38.0,8.0,31,10.179567957101098,34.579406470869046,4,2,6591.82285520409,0,0,False,1.0,inf,False,10.501050105325563,72
137,23322,20322,BXN,V140,87000.0,0.0,0.0,15.0,38.0,8.0,28,10.0,7.499767809046159,4,2,9228.57142857143,0,0,False,1.0,inf,False,4.3343653250774,73
140,23890,23888,PLN,V100,75000.0,0.0,0.0,10.0,94.0,8.0,10,7.543456871228984,15.233981283142619,4,2,8060.95238095238,0,0,False,0.0,inf,False,5.73958674984814,74
144,23893,23888,PLN,V100,75000.0,0.0,0.0,10.0,94.0,8.0,10,6.724163134143023,21.117764474219225,4,2,8060.95238095238,0,1,False,0.0,inf,False,5.116211080326213,75
148,24478,24455,ROM,V100,102000.0,60000.0,6.0,12.0,93.0,15.0,24,11.047400611620795,17.61318408179268,4,3,6372.45,0,0,32.0,0.0,12.0,75.0,6.68960244648318,76
149,24478,24455,ROM,V140,144000.0,60000.0,6.0,12.0,93.0,15.0,24,15.466360856269112,22.735550458715597,4,3,8921.43,0,0,32.0,0.0,12.0,75.0,6.68960244648318,77
